Key,Date,Day,AvailableTime,Distance,AirScore,WeatherScore,Dorm,IOS
A1,14/03/2019,Thursday,NA,258.0881473,2,1,NO,0
A1,18/03/2019,Monday,NA,258.0881473,1,2,NO,0
A1,19/03/2019,Tuesday,NA,NA,1,2,NO,1
A1,20/03/2019,Wednesday,10184,258.0881473,2,1,NO,1
A1,21/03/2019,Thursday,NA,258.0881473,1,1,NO,0
A1,25/03/2019,Monday,NA,258.0881473,1,2,NO,1
A1,26/03/2019,Tuesday,NA,132.335733,1,2,NO,0
A1,27/03/2019,Wednesday,10184,NA,3,2,NO,1
A1,28/03/2019,Thursday,NA,258.0881473,1,2,NO,0
A1,2/4/19,Tuesday,NA,258.0881473,1,5,NO,0
A1,3/4/19,Wednesday,10184,258.0881473,1,2,NO,0
A1,4/4/19,Thursday,NA,258.0881473,1,2,NO,0
A1,8/4/19,Monday,NA,258.0881473,1,4,NO,1
A1,9/4/19,Tuesday,NA,258.0881473,1,1,NO,0
A1,11/4/19,Thursday,NA,258.0881473,1,1,NO,0
A2,14/03/2019,Thursday,9714.5,258.0881473,2,1,NO,1
A2,18/03/2019,Monday,7436.333333,258.0881473,1,2,NO,1
A2,19/03/2019,Tuesday,6813,258.0881473,1,2,NO,1
A2,20/03/2019,Wednesday,9479,258.0881473,2,1,NO,1
A2,21/03/2019,Thursday,9714.5,258.0881473,1,1,NO,1
A2,25/03/2019,Monday,7436.333333,NA,1,2,NO,1
A2,26/03/2019,Tuesday,6813,258.0881473,1,2,NO,1
A2,27/03/2019,Wednesday,9479,258.0881473,3,2,NO,1
A2,28/03/2019,Thursday,9714.5,258.0881473,1,2,NO,1
A2,1/4/19,Monday,7436.333333,258.0881473,1,5,NO,1
A2,2/4/19,Tuesday,6813,258.0881473,1,5,NO,1
A2,3/4/19,Wednesday,9479,258.0881473,1,2,NO,1
A2,4/4/19,Thursday,9714.5,258.0881473,1,2,NO,1
A2,9/4/19,Tuesday,6813,258.0881473,1,1,NO,1
A2,8/4/19,Monday,7436.333333,258.0881473,1,4,NO,1
A2,11/4/19,Thursday,9714.5,NA,1,1,NO,1
A3,14/03/2019,Thursday,10790,258.0881473,2,1,NO,0
A3,18/03/2019,Monday,8547.833333,132.335733,1,2,NO,0
A3,19/03/2019,Tuesday,9799,NA,1,2,NO,1
A3,20/03/2019,Wednesday,7397,132.335733,2,1,NO,0
A3,21/03/2019,Thursday,10790,258.0881473,1,1,NO,1
A3,25/03/2019,Monday,8547.833333,132.335733,1,2,NO,1
A3,26/03/2019,Tuesday,9799,258.0881473,1,2,NO,0
A3,27/03/2019,Wednesday,7397,132.335733,3,2,NO,0
A3,28/03/2019,Thursday,10790,258.0881473,1,2,NO,1
A3,1/4/19,Monday,8547.833333,NA,1,5,NO,1
A3,2/4/19,Tuesday,9799,258.0881473,1,5,NO,0
A3,3/4/19,Wednesday,7397,132.335733,1,2,NO,1
A3,4/4/19,Thursday,10790,258.0881473,1,2,NO,1
A3,8/4/19,Monday,8547.833333,NA,1,4,NO,1
A3,9/4/19,Tuesday,9799,258.0881473,1,1,NO,0
A5,14/03/2019,Thursday,9640.833333,258.0881473,2,1,YES,0
A5,15/03/2019,Friday,NA,NA,1,1,YES,0
A5,18/03/2019,Monday,10781.66667,258.0881473,1,2,YES,0
A5,19/03/2019,Tuesday,10255,258.0881473,1,2,YES,0
